drug_name,lot_no,units,quantity, price,received_date,expiry_date,note,,,,,,
"SODIUM CHLORIDE 0.9 % FOR IRRIGATION 1,000 ML",L0,ขวด,78,39.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
"SODIUM CHLORIDE 0.9% INJ. 1,000 ML",L0,ขวด,20,56,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SODIUM CHLORIDE 0.9% INJ. 100 ML,L0,ขวด,37,14,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SODIUM CHLORIDE 0.9% INJ. 500 ML,L0,ขวด,0,28,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SODIUM CHLORIDE ENEMA 20 ML,L0,ขวด,0,7.54,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SPIRONOLACTONE 25 MG TAB.,L0,เม็ด,0,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
STERILE WATER FOR INJECTION,L0,หลอด,0,5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
TERBUTALINE 60 ML SYR.,L0,ขวด,0,7.8,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
THAIJEV (JE เชื้อเป็น) 4 pfu/500 mcL,L0,Amp,0,190,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
TIMOLOL EYE DROP 0.50%,L0,หลอด,0,36,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
TRIAMCINOLONE ACETONIDE 0.1% ORAL PASTE 5 G,L0,ซอง,0,25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
TRIAMCINOLONE ACETONIDE CREAM 0.02%,L0,หลอด,105,6.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
TRIAMCINOLONE ACETONIDE CREAM 0.1%,L0,หลอด,80,6.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
TRIFERDINE 150 MG TAB,L0,กระปุก,1147,135,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
TRIFLUOPERAZINE 5 MG TAB.,L0,เม็ด,0,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
VITAMIN B COMPLEX INJ. 1 ML,L0,Amp,40,2.75,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
VITAMIN B COMPLEX TAB.,L0,เม็ด,3970,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
VITAMIN B1-6-12 TAB.***,L0,เม็ด,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
VITAMIN C 100 MG TAB.***,L0,เม็ด,960,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
X-Y Lubricating Jelly 50 G,L0,หลอด,2,39,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ขมิ้นชันแคปซูล 500 MG,L0,แคปซูล,1580,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ครีมนวดไพล 30 G,L0,หลอด,100,34.24,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ครีมไพลจีซาล,L0,หลอด,0,62.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
เจลพริก,L0,หลอด,0,60,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ชาขิง 1 G,L0,ซอง,0,32,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ชาชงรางจืด 1.5 G.,L0,ซอง,259,20.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
เถาวัลย์เปรียง 400 MG,L0,แคปซูล,444,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
น้ำมันไพลหอม 20 ML,L0,ขวด,43,67.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
เพ็ชรสังฆาตแคปซูล,L0,แคปซูล,520,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ฟ้าทะลายโจรแคปซูล 350 MG,L0,แคปซูล,1272,1.3,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ฟ้าทะลายโจรแคปซูล 500 MG,L0,แคปซูล,0,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาแก้ไอมะขามป้อม 120,L0,ขวด,0,25.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาแก้ไอมะขามป้อม 60,L0,ขวด,77,15.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาเขียวหอม 10 G,L0,กระปุก,0,18.05,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาครีมพญายอ,L0,หลอด,24,73.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาชงชุมเห็ดเทศ 3 G,L0,ซอง,0,57,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาชงหญ้าดอกขาว 3 G,L0,ซอง,0,47.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาปลูกไฟธาตุ 280 MG,L0,แคปซูล,0,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาระบายมะขามแขก 350 แคบซูล,L0,เม็ด,1020,1.25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยารักษากลากเกลื้อน 15 MG,L0,หลอด,0,10,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาเลือดงาม 250 MG,L0,กระปุก,0,18.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาหญ้าปักกิ่ง 1.5 G,L0,ซอง,0,32,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาหอมนวโกฐ (200 กรัม) 200 G.,L0,กระปุก,0,1.25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาหอมบำรุงหัวใจ 10 G,L0,กระปุก,0,21.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ยาอมแก้ไอมะแว้ง รสบ๊วย,L0,ซอง,156,10.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ลูกประคบ 150G,L0,อัน,0,73.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
สหัสธารา 500 MG แคปซูล,L0,แคปซูล,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
เสลดพังพอนกลีเซอรีน 10 ML.,L0,ขวด,26,73.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
เสลดพังพอนครีม 20 MG,L0,หลอด,20,29,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
